Recipient Name,Email,Message ID,Status
Bio Craft Innovation Private Limited,info@biomize.in,01090192b96f7f47-0577aa87-d2ea-4050-9f5f-33541a10d00a-000000,Sent
Abhiprerana ATE World Talk,ateworldtalk@gmail.com,01090192b96f7fcf-028f244b-2414-4caf-ab95-2f209087de99-000000,Sent
Campus Haat Solutions Pvt Ltd,admin@campushaat.com,01090192b96f8048-4b512499-047b-4822-9cbe-59bdb3224c1e-000000,Sent
Bhurak Technologies Pvt. Ltd.,Satyam@bhurak.com,01090192b96f80e5-76ad29e2-ab6b-47e4-82a4-0709d184000f-000000,Sent
enray solutions LLP,enraysolutions@gmail.com,01090192b96f8158-9ea24264-0c74-40d2-b4c8-4b76999dd4a8-000000,Sent
SHOPPINGKART24 ONLINE SERVICES PVT LTD,prateekbsingh@shoppingkart24.com,01090192b96f81ce-3be0a568-14e3-4225-92cb-c58d926f9df6-000000,Sent
FRESHNIC AGRIBUSINESS PRIVATE LIMITED,hemantrangat17@gmail.com,01090192b96f8272-309078cd-a28c-495b-89dd-4ac2cc827407-000000,Sent
Ringel Web Technology Pvt Ltd,vcl.vinay@gmail.com,01090192b96f82dd-ff5b3fcd-9462-4086-9caf-44e676649c90-000000,Sent
Cobra Online Services Pvt. Ltd.,croremart@gmail.com,01090192b96f8351-56032145-08b6-48c8-9856-f74ff7e71ab4-000000,Sent
Kalusyam Tech Private Limited,0emissiontechnologies@gmail.com,01090192b96f83f3-d8d875e0-0aa4-46f7-952b-d1bf1192e37f-000000,Sent
Aahan Farm Private Limited,gaurav1chauhan@yahoo.com,01090192b96f84d3-32d4221f-49c7-4774-a301-126602c9db8c-000000,Sent
Ampius Industries,team@theampius.com,01090192b96f854c-3cab8a99-0e49-493c-9981-ef88f9264531-000000,Sent
Tequre Solutions Private Limted,contact@tequre.com,01090192b96f85e0-fe1ff832-f4a1-428b-9e51-f52d8b3bda86-000000,Sent
PAMPOWER PVT LTD,amit@pampower.com,01090192b96f8654-a2f6a8d9-27ba-4cf1-b16c-537b22aeebf1-000000,Sent
Onlinegatha,editor.onlinegatha@gmail.com,01090192b96f8719-034046fd-4877-4b65-bfb6-25a701c1243b-000000,Sent
UPANI SERVICES PVT.LTD,vijaydixit1@gmail.com,01090192b96f8781-43eb31e8-24d1-47cb-93fa-ae341bc73b45-000000,Sent
Progressive Agri Turnkey Solutions Private Limited,arvind.patspl@gmail.com,01090192b96f87ef-50f1488b-3f4b-475c-8e2b-f3f2d0f3cb52-000000,Sent
WeryWin Security Private Limited,mohit@werywin.com,01090192b96f8862-bd612110-bbe2-458c-8742-a16cbea636e3-000000,Sent
Sankrit Ajay Agriculture and Technology Hub,saatinnovation@gmail.com,01090192b96f88ea-eda27b56-77c1-47fe-92d8-75370008d481-000000,Sent
Metamorfatica Systems and Design,rajat.jaiswal@metamorphosys.tech,01090192b96f897d-e5796027-c6e1-4505-ac7e-ba8f45dcab77-000000,Sent
Nutraceutical Rich Organic India Pvt Ltd,nutriorganicindia@gmail.com,01090192b96f8a0b-75acb4b1-242a-476b-a32f-d7a49ebc3fd8-000000,Sent
STUDY AT HOME PRIVATE LIMITED,caagrawalraj@gmail.com,01090192b96f8abb-7a8b25cd-273a-4440-a9bb-01703917fd3a-000000,Sent
Gestureminds Webservices LLP,gaurav4566@gmail.com,01090192b96f8b48-50b17f9d-34d3-4d5a-9f6c-087446fafb94-000000,Sent
Kaushal Teleportation Lab,prashant.941022@gmail.com,01090192b96f8b9c-fadac3d8-dca3-424e-9d63-39ec3e7e5284-000000,Sent
Feeding Trends,itsmeyashsrivastava@gmail.com,01090192b96f8c12-dfdcb92c-72ee-4496-b3c2-16b3e49b2beb-000000,Sent
DIGIPANTS NETWORK PRIVATE LIMITED,bhupendra@digipants.com,01090192b96f8c7d-b96ebd47-ead7-463a-bfe7-2fc0eb1594fd-000000,Sent
scinomat solutions Private Limited,sunil.pankaj.iitk@gmail.com,01090192b96f8cee-4f086b8b-a549-4fa5-a873-d0ab1546cdde-000000,Sent
Utthapana Private Limited,sweksha7737@gmail.com,01090192b96f8d8c-79b65c9e-0633-4ec6-b3b8-4fb26e3b9f36-000000,Sent
KRP Rental Services Pvt.Ltd.,saurabhsingh@kiraipe.com,01090192b96f8e0e-602b565d-930a-4653-b440-d34ea9a667ec-000000,Sent
Blu Ocean Studios Pvt Ltd,director@bluoceanstudios.com,01090192b96f8e7e-b5d2a2e6-7a4a-47ce-9865-ddbc0f2ffd67-000000,Sent
PROMATY INSIGHT PRIVATE LIMITED,promatyinsight@gmail.com,01090192b96f8ee7-55212cee-ee71-4b98-8711-d4efbf14acba-000000,Sent
Antrax Labs,arqum@antraxlabs.com,01090192b96f8f47-73392c22-d7c4-4db0-9c1a-59c2c4447dd9-000000,Sent
Hegan India Private Limited,harshit.banka1990@gmail.com,01090192b96f8fb2-d0c22f40-04a5-479b-8a23-f2d438b90047-000000,Sent
Froport Logistics Private Limited,support@froport.com,01090192b96f904b-f2542595-bcaf-4b41-9059-409ef1708da4-000000,Sent
RENAISSANCE GLOBAL MARKETING AND CONSULTING PRIVATE LIMITED,info@financekaart.com,01090192b96f90ce-c9d68dbc-27d4-46c7-9114-afad941eaa8e-000000,Sent
InstantPost Printers and Scanners Private Limited,akhil.mohan@instantpost.in,01090192b96f916c-85823923-8751-40f9-afba-66691bc1d4fc-000000,Sent
Standard Power Solutions Trading Agency LLP,standardpowersolution19@gmail.com,01090192b96f91c1-1a2bdb9b-1fab-4654-97c4-881010eb6b3c-000000,Sent
Menghis Private Limited,sourabhmenghi@gmail.com,01090192b96f924b-6c63d7da-66ca-4cc1-8b35-51b471bcc5ba-000000,Sent
BANGAR BUSINESS VENTURES PVT. LTD.,controller@bbvclothings.com,01090192b96f92cf-9c461550-967e-4388-9a2b-f906380f1ca8-000000,Sent
Bloque Labs Private Limited,vikas@bloquelabs.com,01090192b96f9381-d402d3c1-5a0d-401c-b111-d0aa85dc66fb-000000,Sent
EduGorilla Community Private Limited,rohit@edugorilla.com,01090192b96f93ea-859f8a2b-8b75-43bf-8f5d-0cf4824416f6-000000,Sent
EduGorilla Community Private Limited,rohit@edugorilla.com,01090192b96f9456-fc0c559c-2f04-4c1c-a125-e724496fa369-000000,Sent
Bid4Best Technologies Pvt Ltd,gaurav@bid4best.com,01090192b96f952d-30bf93be-8957-460e-9f28-16ff0f2f7cd8-000000,Sent
A3Gate Security Solutions Pvt Ltd,contact@a3gate.in,01090192b96f95a2-b9621a2f-cfcb-4028-a143-fa920186aa69-000000,Sent
Instadivine Ventures Private Limited,instadivineventures@gmail.com,01090192b96f9613-2a63816a-0b3a-4d85-b34c-ffd8b73d1488-000000,Sent
MSCRAPPER WASTE MANAGEMENT P LTD,mscrapperindia@gmail.com,01090192b96f9675-e8de4b8e-2c97-45ed-9973-bd4bba549fff-000000,Sent
PNP MEDIA SERVICES PRIVATE LIMITED,prashant4315@gmail.com,01090192b96f96d3-7fb1f974-a42b-4595-9e75-85056ac17f29-000000,Sent
VIDHIK CORPORATE SOLUTIONS PRIVATE LIMITED,vcslucknow@gmail.com,01090192b96f9736-d6de50cf-b02d-47a2-a423-a8de8ac30d14-000000,Sent
EmergeTech Mobile Products & Services Pvt Ltd,atul.gupta@classup.in,01090192b96f97b8-25a52ab0-18dc-41fb-8c23-7a1279384782-000000,Sent
NINTEBU INDIA PRIVATE LIMITED,sukul.tyagi@gmail.com,01090192b96f9835-53ac4005-8c7d-4ff8-8bdb-ff08ccf9c6f4-000000,Sent
DEVOID TECHNOLOGIES PRIVATE LIMITED,devoidtechnologies@gmail.com,01090192b96f988d-8b099b4e-9851-4853-af43-706a9defed74-000000,Sent
ADAMYA HERBAL CARE PRIVATE LIMITED,adamyaherbalcare@gmail.com,01090192b96f992c-e4065435-539b-4787-a46a-77505eaa1fcd-000000,Sent
CIBERMEN ONLINE SERVICES PRIVATE LIMITED,ceo@cibermen.com,01090192b96f99c9-745ef4ea-08ed-4ec5-bb29-b530622b329e-000000,Sent
KIPEKEE AGRO(OPC) PRIVATE LIMITED,narendra.kumar@kipekee.in,01090192b96f9a4f-58cc690c-bc8c-4aac-ad11-326c48b614a7-000000,Sent
ASPL Green Ventures Private Limited,drumseeders@gmail.com,01090192b96f9ad5-da3b1aba-3bfb-4cb7-9f67-37f748d7bb98-000000,Sent
ASPEXX HEALTH SOLUTIONS PRIVATE LIMITED,shivanimishra1692@gmail.com,01090192b96f9b54-8b622676-8e8b-47d0-ac1c-e7b0ccb795c5-000000,Sent
KALKING COSMETECH PRIVATE LIMITED,m_13142127@rediffmail.com,01090192b96f9bbc-b2f6fba7-7c21-4bec-bb1f-a829093aec05-000000,Sent
APT ESERVE OPC PRIVATE LIMITED,me@atulpatitripathi.com,01090192b96f9c59-04125209-8c9f-4a43-b24b-b8b196da7517-000000,Sent
IVS Softtech Private Limited,alok15281@gmail.com,01090192b96f9cc1-b3cfbbb5-c3ad-461b-a444-47c3c257f430-000000,Sent
Room Soom Technologies Pvt Ltd,nagrawal0703@gmail.com,01090192b96f9d27-08656908-1e12-4daf-b25f-231ddf416960-000000,Sent
Kraftors Web Solutions Private Limited,jaiswal.grv@gmail.com,01090192b96f9db9-f2cdd4f6-6e6f-4669-b015-66400470621e-000000,Sent
Kraftors Web Solutions Private Limited,jaiswal.grv@gmail.com,01090192b96f9e17-597c298f-fd75-44d9-9bcd-d3d04a4254f0-000000,Sent
ASV WEB AND TECHNOLOGY PRIVATE LIMITED,asvwebandtechnologies@gmail.com,01090192b96f9e77-7f3fa17d-b884-47b7-ba80-3d32f3af593b-000000,Sent
RST ECOENERGY PRIVATE LIMITED,director@rstenergy.com,01090192b96f9ee2-13e122e6-f6f8-449a-ad87-aeb6aaed7447-000000,Sent
DESKOTEL COMMUNICATIONS PRIVATE LIMITED,kaushal@callerdesk.io,01090192b96fa018-a30e3987-0f50-4bd4-a382-2f9c254e8753-000000,Sent
Zebu Breeding & Conservation LLP,khandelwalrohit1980@gmail.com,01090192b96fa077-adeb9432-b10c-4fad-8691-ebb7844c0b06-000000,Sent
INDIZEKIDS SYSTEM (OPC) PVT LTD,SAKET.SINHA@INDIZEKIDS.COM,01090192b96fa0d6-51ad9e1f-df3f-4a35-bd9c-d14e330f68e2-000000,Sent
graphotive production pvt ltd,vivek.nath@graphotive.com,01090192b96fa150-1c8bd7d7-07af-4b19-8f83-11980cc15f04-000000,Sent
Quality Enviro Engineers Private Limited,query@qualityenviroengineers.com,01090192b96fa1df-4009d09a-31cb-4bbf-bcd5-2cd4c573923f-000000,Sent
MRK REALTECH PVT LTD,mayurrajkapoor@gmail.com,01090192b96fa277-60f9bf57-2274-47ef-a510-4936f8669a79-000000,Sent
Innomalous Technologies Private Limited,abhishek@innomalous.com,01090192b96fa2d1-ef866931-076c-406d-838b-b6176af53ffd-000000,Sent
Innomalous Technologies Private Limited,abhishek@innomalous.com,01090192b96fa36b-4deeaa5b-85c6-4531-8724-f138c6c8420e-000000,Sent
Empyrean Robotic Technologies LLP,contact@empyrotech.com,01090192b96fa3d2-d4596de9-d5ab-4159-92bb-ec47f6da8340-000000,Sent
FISCO ENERGY PRIVATE LIMITED,freshindiasolar@gmail.com,01090192b96fa42f-38b3f534-2096-472d-83fa-f238c0842b3c-000000,Sent
Colossal Dream Technologies Private Limited,allaboutdreamz@gmail.com,01090192b96fa495-c979623b-921b-45c6-bfb7-aca7ee52d9ce-000000,Sent
Adismart Services Private Limited,Adismartstartup@gmail.com,01090192b96fa4f5-b5a737d2-f955-47ff-94ed-15c47acc3b50-000000,Sent
Glorious Insight Pvt Ltd,vinay.prakash@glorinz.com,01090192b96fa559-0538788d-0557-4751-9913-47a0efb5075e-000000,Sent
INOVATIQ ENGINEERING PRIVATE LIMITED,inovatiq@gmail.com,01090192b96fa5be-1d22e680-9e9b-46ce-9eed-55243d63878c-000000,Sent
USOP SECURITI TECHNOLOGIES PRIVATE LIMITED,namratanu@gmail.com,01090192b96fa649-7e511b2b-0295-44a0-8802-3e902fd2761c-000000,Sent
