Startup Name,Email,Phone
Bio Craft Innovation Private Limited,info@biomize.in,(+91) 9818288803
Abhiprerana ATE World Talk,ateworldtalk@gmail.com,(+91) 9452587921
Campus Haat Solutions Pvt Ltd,admin@campushaat.com,(+91) 8299846890
Bhurak Technologies Pvt. Ltd.,Satyam@bhurak.com,(+91) 7060448441
enray solutions LLP,enraysolutions@gmail.com,(+91) 8077718862
SHOPPINGKART24 ONLINE SERVICES PVT LTD,prateekbsingh@shoppingkart24.com,(+91) 9650279500
FRESHNIC AGRIBUSINESS PRIVATE LIMITED,hemantrangat17@gmail.com,(+91) 8924853915
Ringel Web Technology Pvt Ltd,vcl.vinay@gmail.com,(+91) 9708833344
Cobra Online Services Pvt. Ltd.,croremart@gmail.com,(+91) 7398263499
Kalusyam Tech Private Limited,0emissiontechnologies@gmail.com,(+91) 9889774003
Aahan Farm Private Limited,gaurav1chauhan@yahoo.com,(+91) 7011894544
Ampius Industries,team@theampius.com,(+91) 8591158873
Tequre Solutions Private Limted,contact@tequre.com,(+91) 9910063881
PAMPOWER PVT LTD,amit@pampower.com,(+91) 9717579902
Onlinegatha,editor.onlinegatha@gmail.com,(+91) 9936585666
UPANI SERVICES PVT.LTD,vijaydixit1@gmail.com,(+91) 9919003195
Progressive Agri Turnkey Solutions Private Limited,arvind.patspl@gmail.com,(+91) 9953166468
WeryWin Security Private Limited,mohit@werywin.com,(+91) 7233002602
Sankrit Ajay Agriculture and Technology Hub,saatinnovation@gmail.com,(+91) 9793094232
Metamorfatica Systems and Design,rajat.jaiswal@metamorphosys.tech,(+91) 7410099949
Nutraceutical Rich Organic India Pvt Ltd,nutriorganicindia@gmail.com,(+91) 9452787868
STUDY AT HOME PRIVATE LIMITED,caagrawalraj@gmail.com,(+91) 9795999555
Gestureminds Webservices LLP,gaurav4566@gmail.com,(+91) 8223833208
Kaushal Teleportation Lab,prashant.941022@gmail.com,(+91) 8587960326
Feeding Trends,itsmeyashsrivastava@gmail.com,(+91) 8090497228
DIGIPANTS NETWORK PRIVATE LIMITED,bhupendra@digipants.com,(+91) 7317275160
scinomat solutions Private Limited,sunil.pankaj.iitk@gmail.com,(+91) 9140831654
Utthapana Private Limited,sweksha7737@gmail.com,(+91) 7380447233
KRP Rental Services Pvt.Ltd.,saurabhsingh@kiraipe.com,(+91) 8077048346
Blu Ocean Studios Pvt Ltd,director@bluoceanstudios.com,(+91) 9997098129
PROMATY INSIGHT PRIVATE LIMITED,promatyinsight@gmail.com,(+91) 7355418095
Antrax Labs,arqum@antraxlabs.com,(+91) 9897138035
Hegan India Private Limited,harshit.banka1990@gmail.com,(+91) 9670767909
Froport Logistics Private Limited,support@froport.com,(+91) 9161677333
RENAISSANCE GLOBAL MARKETING AND CONSULTING PRIVATE LIMITED,info@financekaart.com,(+91) 9889916009
InstantPost Printers and Scanners Private Limited,akhil.mohan@instantpost.in,(+91) 9916374600
Standard Power Solutions Trading Agency LLP,standardpowersolution19@gmail.com,(+91) 9999852381
Menghis Private Limited,sourabhmenghi@gmail.com,(+91) 7760511199
BANGAR BUSINESS VENTURES PVT. LTD.,controller@bbvclothings.com,(+91) 9936444776
Bloque Labs Private Limited,vikas@bloquelabs.com,(+91) 9971700854
EduGorilla Community Private Limited,rohit@edugorilla.com,(+91) 9410007819
EduGorilla Community Private Limited,rohit@edugorilla.com,(+91) 9410007819
Bid4Best Technologies Pvt Ltd,gaurav@bid4best.com,(+91) 8368997501
A3Gate Security Solutions Pvt Ltd,contact@a3gate.in,(+91) 9026654995
Instadivine Ventures Private Limited,instadivineventures@gmail.com,(+91) 8076121900
MSCRAPPER WASTE MANAGEMENT P LTD,mscrapperindia@gmail.com,(+91) 9235398008
PNP MEDIA SERVICES PRIVATE LIMITED,prashant4315@gmail.com,(+91) 9044355522
